@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

R_data_frame,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,827,91,82,9,0,90.10989,9.89011,0,0.800681,0.107453,0.285597,21.721293,57.398819,90.361617,41.297574,49.064044,0.992985,0.453819,0.539165,71.05233,0.780795,78.631096,0.902439,37,0.1,5,0.9,45,0.097561,4,0.880952,0.902439,0.891566,0.800878,0.96878,0.96741,0.901099,0.09866,0.90134,0.098901,0.90151,0.901099,0.901195,0.800878,0.96878,0.971148,0.900329,0.901099,0,0,0.000587,0.000292,0.587,0.292,5836,139345,17905,94.505495,57.692308,?,?,?
R_data_frame,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,76,16,0,82.608696,17.391304,0,0.65135,0.177417,0.362599,35.89808,72.951726,91.214767,70.729053,20.485714,0.991465,0.768794,0.222671,58.67081,0.637726,64.321614,0.853659,35,0.196078,10,0.803922,41,0.146341,6,0.777778,0.853659,0.813953,0.653839,0.93209,0.935747,0.826087,0.168507,0.831493,0.173913,0.830198,0.826087,0.826582,0.653839,0.93209,0.937688,0.825344,0.826087,0.001,0,0.000601,0.00029,0.601,0.29,5836,139180,18070,92.391304,62.5,?,?,?
R_data_frame,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,80,12,0,86.956522,13.043478,0,0.736011,0.133139,0.3002,26.93907,60.397742,91.214767,40.747203,50.467564,0.991465,0.442904,0.54856,67.140548,0.729789,73.607103,0.853659,35,0.117647,6,0.882353,45,0.146341,6,0.853659,0.853659,0.853659,0.736011,0.961263,0.960513,0.869565,0.133554,0.866446,0.130435,0.869565,0.869565,0.869565,0.736011,0.961263,0.964835,0.868006,0.869565,0.001,0,0.000645,0.0003,0.645,0.3,5836,139180,18070,96.73913,64.673913,?,?,?
R_data_frame,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,75,17,0,81.521739,18.478261,0,0.621491,0.182613,0.374457,36.949441,75.337561,91.214767,85.459932,5.754835,0.991465,0.928912,0.062553,57.636753,0.626486,63.187963,0.731707,30,0.117647,6,0.882353,45,0.268293,11,0.833333,0.731707,0.779221,0.625378,0.892874,0.90512,0.815217,0.201157,0.798843,0.184783,0.816835,0.815217,0.813535,0.625378,0.892874,0.901068,0.810171,0.815217,0.001,0.001,0.000615,0.000471,0.615,0.471,5836,139180,18070,91.304348,61.413043,?,?,?
R_data_frame,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,83,9,0,90.217391,9.782609,0,0.803419,0.116589,0.308033,23.590322,61.973518,91.214767,69.31733,21.897437,0.991465,0.753449,0.238016,70.220605,0.763267,76.983812,0.926829,38,0.117647,6,0.882353,45,0.073171,3,0.863636,0.926829,0.894118,0.805149,0.931133,0.927944,0.902174,0.092992,0.907008,0.097826,0.904583,0.902174,0.902418,0.805149,0.931133,0.928584,0.901604,0.902174,0.001,0,0.000666,0.000376,0.666,0.376,5836,139180,18070,92.391304,56.521739,?,?,?
R_data_frame,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,72,20,0,78.26087,21.73913,0,0.55577,0.210303,0.42695,42.552266,85.898727,91.214767,126.405847,-35.19108,0.991465,1.373977,-0.382512,52.246005,0.567891,57.278012,0.707317,29,0.156863,8,0.843137,43,0.292683,12,0.783784,0.707317,0.74359,0.557977,0.866571,0.87059,0.782609,0.232154,0.767846,0.217391,0.782694,0.782609,0.781136,0.557977,0.866571,0.860143,0.777455,0.782609,0.001,0,0.000597,0.00032,0.597,0.32,5836,139180,18070,88.043478,58.695652,?,?,?
R_data_frame,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,83,9,0,90.217391,9.782609,0,0.804348,0.108141,0.277457,21.88089,55.822025,91.214767,34.166599,57.048168,0.991465,0.371376,0.620089,71.697096,0.779316,78.602509,0.95122,39,0.137255,7,0.862745,44,0.04878,2,0.847826,0.95122,0.896552,0.809142,0.97561,0.973436,0.902174,0.088209,0.911791,0.097826,0.908081,0.902174,0.902464,0.809142,0.97561,0.977446,0.901884,0.902174,0.001,0,0.000637,0.000325,0.637,0.325,5836,139180,18070,96.73913,59.782609,?,?,?
R_data_frame,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,77,15,0,83.695652,16.304348,0,0.672365,0.165145,0.360466,33.414972,72.52258,91.214767,82.300504,8.914263,0.991465,0.894571,0.096894,60.817875,0.661064,66.675471,0.853659,35,0.176471,9,0.823529,42,0.146341,6,0.795455,0.853659,0.823529,0.673813,0.912482,0.905346,0.836957,0.159769,0.840231,0.163043,0.83955,0.836957,0.837363,0.673813,0.912482,0.904099,0.836007,0.836957,0,0.001,0.000643,0.00028,0.643,0.28,5836,139180,18070,93.478261,62.5,?,?,?
R_data_frame,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,76,16,0,82.608696,17.391304,0,0.639392,0.168701,0.368332,34.134457,74.105258,91.214767,84.243348,6.971419,0.991465,0.915689,0.075776,60.213218,0.654491,66.012577,0.682927,28,0.058824,3,0.941176,48,0.317073,13,0.903226,0.682927,0.777778,0.656278,0.912004,0.902198,0.826087,0.201984,0.798016,0.173913,0.838733,0.826087,0.821774,0.656278,0.912004,0.913098,0.81746,0.826087,0.001,0,0.00072,0.000284,0.72,0.284,5836,139180,18070,92.391304,61.413043,?,?,?
R_data_frame,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,827,91,79,12,0,86.813187,13.186813,0,0.732484,0.155381,0.352406,31.409626,70.825871,90.361617,76.280179,14.081438,0.992985,0.838244,0.154741,62.570279,0.687585,69.24431,0.829268,34,0.1,5,0.9,45,0.170732,7,0.871795,0.829268,0.85,0.733213,0.912195,0.898814,0.868132,0.138864,0.861136,0.131868,0.868273,0.868132,0.867776,0.733213,0.912195,0.913135,0.866176,0.868132,0,0.001,0.000856,0.000418,0.856,0.418,5836,139345,17905,91.208791,58.791209,?,?,?
R_data_frame,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,827,91,79,12,0,86.813187,13.186813,0,0.732484,0.149051,0.342466,30.130026,68.828166,90.361617,64.2855,26.076118,0.992985,0.706434,0.286551,63.385794,0.696547,70.146812,0.829268,34,0.1,5,0.9,45,0.170732,7,0.871795,0.829268,0.85,0.733213,0.933171,0.934048,0.868132,0.138864,0.861136,0.131868,0.868273,0.868132,0.867776,0.733213,0.933171,0.938245,0.866176,0.868132,0.001,0,0.000605,0.000277,0.605,0.277,5836,139345,17905,93.406593,58.791209,?,?,?
R_data_frame,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,80,12,0,86.956522,13.043478,0,0.737268,0.164384,0.359607,33.260993,72.349842,91.214767,79.611648,11.603119,0.991465,0.865344,0.126121,61.50235,0.668504,67.425869,0.878049,36,0.137255,7,0.862745,44,0.121951,5,0.837209,0.878049,0.857143,0.737976,0.918221,0.89986,0.869565,0.128771,0.871229,0.130435,0.870886,0.869565,0.869814,0.737976,0.918221,0.921938,0.868571,0.869565,0.001,0,0.000819,0.000439,0.819,0.439,5836,139180,18070,90.217391,60.869565,?,?,?
R_data_frame,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,79,13,0,85.869565,14.130435,0,0.714695,0.141382,0.329721,28.606825,66.337093,91.214767,69.107302,22.107465,0.991465,0.751166,0.240299,65.342158,0.710241,71.635504,0.853659,35,0.137255,7,0.862745,44,0.146341,6,0.833333,0.853659,0.843373,0.714867,0.938307,0.946961,0.858696,0.142292,0.857708,0.141304,0.859203,0.858696,0.858847,0.714867,0.938307,0.941141,0.85733,0.858696,0,0.001,0.000619,0.000295,0.619,0.295,5836,139180,18070,92.391304,58.152174,?,?,?
R_data_frame,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,84,8,0,91.304348,8.695652,0,0.821446,0.107931,0.263606,21.838482,53.035189,91.214767,36.770573,54.444194,0.991465,0.39968,0.591785,71.952719,0.782095,78.882753,0.829268,34,0.019608,1,0.980392,50,0.170732,7,0.971429,0.829268,0.894737,0.828912,0.961263,0.964451,0.913043,0.103383,0.896617,0.086957,0.919189,0.913043,0.912026,0.828912,0.961263,0.964526,0.910331,0.913043,0,0.001,0.000597,0.000281,0.597,0.281,5836,139180,18070,96.73913,60.869565,?,?,?
