@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
90,497,11,170,240,0.414634,0.978346,0.745127,0.978346,0.254873,0.845957,0.72658,1.34651,0.094925
91,497,11,168,242,0.409756,0.978346,0.747368,0.978346,0.252632,0.8474,0.724401,1.350559,0.094973
92,497,11,167,243,0.407317,0.978346,0.748494,0.978346,0.251506,0.848123,0.723312,1.352593,0.095397
93,497,11,166,244,0.404878,0.978346,0.749623,0.978346,0.250377,0.848847,0.722222,1.354634,0.098005
94,497,11,165,245,0.402439,0.978346,0.750755,0.978346,0.249245,0.849573,0.721133,1.35668,0.100216
95,497,11,164,246,0.4,0.978346,0.751891,0.978346,0.248109,0.850299,0.720044,1.358732,0.102782
96,497,11,162,248,0.395122,0.978346,0.754173,0.978346,0.245827,0.851757,0.717865,1.362856,0.106702
97,497,11,161,249,0.392683,0.978346,0.755319,0.978346,0.244681,0.852487,0.716776,1.364927,0.107511
98,497,11,160,250,0.390244,0.978346,0.756469,0.978346,0.243531,0.853219,0.715686,1.367005,0.107797
99,497,11,158,252,0.385366,0.978346,0.758779,0.978346,0.241221,0.854686,0.713508,1.371179,0.112956
100,497,11,157,253,0.382927,0.978346,0.759939,0.978346,0.240061,0.855422,0.712418,1.373275,0.114947
101,497,11,154,256,0.37561,0.978346,0.763441,0.978346,0.236559,0.857636,0.70915,1.379604,0.123029
102,497,11,153,257,0.373171,0.978346,0.764615,0.978346,0.235385,0.858377,0.708061,1.381726,0.124643
103,496,12,152,258,0.370732,0.976378,0.765432,0.976378,0.234568,0.858131,0.705882,1.383202,0.125188
104,495,13,152,258,0.370732,0.974409,0.76507,0.974409,0.23493,0.857143,0.704793,1.382547,0.130099
105,495,13,151,259,0.368293,0.974409,0.766254,0.974409,0.233746,0.857886,0.703704,1.384687,0.132046
106,494,14,151,259,0.368293,0.972441,0.765891,0.972441,0.234109,0.856895,0.702614,1.384032,0.140673
107,493,15,151,259,0.368293,0.970472,0.765528,0.970472,0.234472,0.855903,0.701525,1.383375,0.140879
108,491,17,149,261,0.363415,0.966535,0.767188,0.966535,0.232813,0.855401,0.697168,1.386374,0.140881
109,491,17,148,262,0.360976,0.966535,0.768388,0.966535,0.231612,0.856146,0.696078,1.388544,0.154077
110,491,17,147,263,0.358537,0.966535,0.769592,0.966535,0.230408,0.856894,0.694989,1.39072,0.156133
111,490,18,146,264,0.356098,0.964567,0.77044,0.964567,0.22956,0.856643,0.69281,1.392252,0.156371
112,490,18,145,265,0.353659,0.964567,0.771654,0.964567,0.228346,0.857393,0.691721,1.394445,0.156949
113,490,18,144,266,0.35122,0.964567,0.772871,0.964567,0.227129,0.858144,0.690632,1.396644,0.158025
114,490,18,142,268,0.346341,0.964567,0.775316,0.964567,0.224684,0.859649,0.688453,1.401064,0.159953
115,490,18,141,269,0.343902,0.964567,0.776545,0.964567,0.223455,0.860404,0.687364,1.403284,0.160839
116,490,18,140,270,0.341463,0.964567,0.777778,0.964567,0.222222,0.86116,0.686275,1.405512,0.166651
117,490,18,137,273,0.334146,0.964567,0.781499,0.964567,0.218501,0.863436,0.683007,1.412237,0.171744
118,489,19,136,274,0.331707,0.962598,0.7824,0.962598,0.2176,0.863195,0.680828,1.413865,0.177169
119,488,20,136,274,0.331707,0.96063,0.782051,0.96063,0.217949,0.862191,0.679739,1.413234,0.179226
120,488,20,135,275,0.329268,0.96063,0.783307,0.96063,0.216693,0.862953,0.678649,1.415503,0.181387
121,487,21,135,275,0.329268,0.958661,0.782958,0.958661,0.217042,0.861947,0.67756,1.414873,0.182545
122,487,21,134,276,0.326829,0.958661,0.784219,0.958661,0.215781,0.86271,0.676471,1.417152,0.18414
123,486,22,132,278,0.321951,0.956693,0.786408,0.956693,0.213592,0.863233,0.673203,1.421107,0.184884
124,486,22,131,279,0.319512,0.956693,0.787682,0.956693,0.212318,0.864,0.672113,1.42341,0.187291
125,485,23,131,279,0.319512,0.954724,0.787338,0.954724,0.212662,0.862989,0.671024,1.422787,0.188623
126,485,23,130,280,0.317073,0.954724,0.788618,0.954724,0.211382,0.863758,0.669935,1.425101,0.193552
127,485,23,128,282,0.312195,0.954724,0.791191,0.954724,0.208809,0.865299,0.667756,1.42975,0.211049
