@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
156,485,23,134,276,0.326829,0.954724,0.783522,0.954724,0.216478,0.860692,0.674292,1.415892,0.240355
157,485,23,133,277,0.32439,0.954724,0.78479,0.954724,0.21521,0.861456,0.673203,1.418183,0.243643
158,485,23,132,278,0.321951,0.954724,0.786062,0.954724,0.213938,0.862222,0.672113,1.420481,0.247085
159,485,23,131,279,0.319512,0.954724,0.787338,0.954724,0.212662,0.862989,0.671024,1.422787,0.251094
160,485,23,130,280,0.317073,0.954724,0.788618,0.954724,0.211382,0.863758,0.669935,1.425101,0.255539
161,484,24,130,280,0.317073,0.952756,0.788274,0.952756,0.211726,0.862745,0.668845,1.424479,0.255997
162,484,24,129,281,0.314634,0.952756,0.78956,0.952756,0.21044,0.863515,0.667756,1.426802,0.256276
163,484,24,128,282,0.312195,0.952756,0.79085,0.952756,0.20915,0.864286,0.666667,1.429134,0.259037
164,484,24,127,283,0.309756,0.952756,0.792144,0.952756,0.207856,0.865058,0.665577,1.431473,0.269354
165,484,24,126,284,0.307317,0.952756,0.793443,0.952756,0.206557,0.865832,0.664488,1.43382,0.276887
166,484,24,125,285,0.304878,0.952756,0.794745,0.952756,0.205255,0.866607,0.663399,1.436174,0.277346
167,484,24,124,286,0.302439,0.952756,0.796053,0.952756,0.203947,0.867384,0.662309,1.438536,0.279696
168,483,25,124,286,0.302439,0.950787,0.795717,0.950787,0.204283,0.866368,0.66122,1.437929,0.312752
169,482,26,124,286,0.302439,0.948819,0.79538,0.948819,0.20462,0.86535,0.660131,1.43732,0.320571
